lon,lat,utc
-162.096,5.874,8/14/2008 3:36
-162.089,5.868,8/16/2008 0:52
-162.103,5.866,8/28/2008 4:14
-162.096,5.842,9/4/2008 17:14
-162.086,5.87,10/3/2008 9:38
-162.081,5.871,10/13/2008 20:02
-162.084,5.871,10/23/2008 4:11
-162.088,5.871,11/8/2008 19:56
-162.092,5.871,11/18/2008 4:55
-162.099,5.87,11/26/2008 4:59
-162.111,5.866,12/3/2008 16:21
-162.103,5.866,12/6/2008 4:44
-162.095,5.867,12/7/2008 4:35
-162.11,5.872,1/1/2009 4:38
-162.108,5.869,1/14/2009 16:28
-162.108,5.871,1/22/2009 16:35
-162.105,5.874,2/3/2009 4:48
-162.105,5.863,2/18/2009 5:16
-162.11,5.863,3/6/2009 16:40
-162.086,5.871,3/27/2009 4:42
-162.082,5.869,3/28/2009 0:16
-162.081,5.873,3/29/2009 0:08
-162.1,5.866,4/2/2009 5:09
-162.079,5.878,4/9/2009 21:05
-162.076,5.872,4/12/2009 19:57
-162.086,5.871,4/14/2009 4:30
-162.082,5.87,4/16/2009 16:48
-162.104,5.874,4/17/2009 16:35
